date,open,close,high,low,volume,amount,log_return,amplitude_pct,volatility_5d,volatility_20d,bias_ratio_20d,guba_avg_sentiment,guba_post_volume,guba_pos_ratio,news_avg_sentiment,news_post_volume,news_pos_ratio
2025/1/2,3347.94,3262.56,3351.72,3242.09,561375199,6.03341E+11,-0.026973418,3.2708189130486565,20.935954180645584,15.80751201151352,-3.631568329,-0.133190981,11468,0.42945587722357864,0,0,0
2025/1/3,3267.08,3211.43,3273.57,3205.78,517592014,5.2316E+11,-0.015795842,2.077816193418664,19.66724713386315,16.54900662896421,-4.920764837,-0.199293363,12088,0.3954334877564527,0,0,0
2025/1/6,3209.78,3206.92,3219.49,3185.46,430978403,4.44188E+11,-0.001405346,1.059652553535333,18.938545440047452,15.854570408902193,-4.776369579,-0.177242721,7691,0.40826940579898585,0,0,0
2025/1/7,3203.31,3229.64,3230.85,3190.46,409660529,4.36388E+11,0.007059701,1.259463909296143,21.38018968594836,16.23337876302347,-3.854953049,-0.12357658,5953,0.4369225600537544,0,0,0
2025/1/8,3218.86,3230.17,3246.29,3175.72,472864390,5.08148E+11,0.000164092,2.1850732589390818,21.82156932237094,15.960159932640048,-3.562866015,-0.124778979,8339,0.4345844825518647,0,0,0
2025/1/9,3220.72,3211.39,3228.97,3205.91,382943557,4.34446E+11,-0.005830902,0.7138943151598816,13.408296268809996,15.841880913512874,-3.806058704,-0.130348044,3815,0.43224115334207075,0,0,0
2025/1/10,3211.71,3168.52,3220.11,3168.52,403663348,4.65939E+11,-0.013439263,1.6064694727205402,12.044368225232953,15.590321715626212,-4.671890299,-0.190331709,7200,0.40041666666666664,0.9002442955970764,1,1
2025/1/13,3148.83,3160.76,3172.7,3140.98,372742023,4.11774E+11,-0.002452097,1.0010983045712132,11.996842945993215,14.420234427755926,-4.573584983,-0.135207168,5538,0.42993860599494405,0,0,0
2025/1/14,3165.16,3240.94,3245.22,3159.43,469212704,5.38984E+11,0.025050906,2.7142206304812753,23.08309815,17.63738121260683,-1.937652251,0.055585484084424985,5290,0.5321361058601134,0.95,1,1
2025/1/15,3234.72,3227.12,3245.9,3222.24,404723199,4.66216E+11,-0.004273313,0.7300351132696165,23.36111448345295,17.551199131897384,-2.15690968,-0.008991265,4473,0.49899396378269617,0,0,0
2025/1/16,3239.03,3236.03,3265.28,3217.1,430655539,4.99055E+11,0.002757171,1.4929720617764537,22.844312356958156,17.382042091329282,-1.668863853,-0.101203196,4280,0.4488317757009346,0,0,0
2025/1/17,3226.76,3241.82,3256.51,3219.77,383599260,4.56553E+11,0.001787631,1.1353417613557424,18.74955765328728,17.42990393802675,-1.3006688,-0.054823273,2912,0.4732142857142857,0,0,0
2025/1/20,3256.15,3244.38,3268.26,3238.12,403337948,4.69741E+11,0.000789368,0.9297246608386748,18.11477121726869,17.450850888201007,-1.036388202,-0.069995766,3129,0.4637264301693832,0,0,0
2025/1/21,3256.83,3242.62,3258.61,3229.07,384583718,4.68263E+11,-0.000542624,0.910497537,4.341804593814262,17.41644539212138,-0.925915034,-0.09046685,4639,0.45333045915067904,0,0,0
2025/1/22,3235.49,3213.62,3235.5,3203.38,364817518,4.52313E+11,-0.008983617,0.9905570187070916,7.484028657665479,16.75480384779049,-1.541363185,-0.1312406,5429,0.4312027997789648,0,0,0
